StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q22,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
2025-10-24 13:58:34,2025-10-24 14:01:54,IP Address,172.59.194.131,100,199,True,2025-10-24 14:01:55,R_5fJOIvRbtDsOIN1,,,,,32.8964,-96.8635,qr,EN,1056,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree
2025-10-24 13:58:10,2025-10-24 14:02:00,IP Address,174.224.5.170,100,229,True,2025-10-24 14:02:00,R_7D63hAS7sq8fmud,,,,,32.9503,-96.819,qr,EN,1002,Disagree,Disagree,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree
2025-10-24 13:58:46,2025-10-24 14:02:04,IP Address,172.59.194.170,100,198,True,2025-10-24 14:02:04,R_5m5ZrKdDcbYmI6Z,,,,,32.8964,-96.8635,qr,EN,1064,Strongly agree,Neutral,Disagree,Strongly agree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral
2025-10-24 13:59:43,2025-10-24 14:02:16,IP Address,174.203.2.188,100,153,True,2025-10-24 14:02:17,R_5mAmtpil5z8Y9Xz,,,,,29.8119,-95.5207,qr,EN,1039,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree
2025-10-24 13:58:11,2025-10-24 14:02:16,IP Address,166.198.198.122,100,245,True,2025-10-24 14:02:17,R_7OyIHB0RDZgfZLj,,,,,30.4421,-97.6339,qr,EN,1098,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree
2025-10-24 13:58:14,2025-10-24 14:02:42,IP Address,107.127.4.37,100,267,True,2025-10-24 14:02:42,R_7CqZKhFiOAEXBdZ,,,,,30.3023,-97.6914,qr,EN,1023,Disagree,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree
2025-10-24 13:59:51,2025-10-24 14:02:44,IP Address,166.205.190.84,100,172,True,2025-10-24 14:02:44,R_5PCcyQeHXnlm6Ep,,,,,30.3773,-97.71,qr,EN,1085,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-10-24 13:58:54,2025-10-24 14:03:04,IP Address,172.58.182.157,100,249,True,2025-10-24 14:03:04,R_7t8Q2sH8jB0tvzm,,,,,32.7889,-96.8021,qr,EN,1091,Agree,Neutral,Neutral,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree
2025-10-24 14:00:42,2025-10-24 14:06:49,IP Address,174.197.67.253,100,366,True,2025-10-24 14:06:49,R_6nYI2AFIzmLPIat,,,,,32.7797,-96.8022,qr,EN,1068,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Neutral
2025-10-24 14:03:56,2025-10-24 14:08:27,IP Address,166.205.190.98,100,271,True,2025-10-24 14:08:28,R_5bqE2wKQC2tNIT7,,,,,30.3773,-97.71,qr,EN,1010,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Strongly agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree
2025-10-24 14:04:21,2025-10-24 14:08:43,IP Address,173.219.25.101,100,262,True,2025-10-24 14:08:43,R_5pXznHywS2dAWIh,,,,,32.7797,-96.8022,qr,EN,1070,Strongly agree,Disagree,Neutral,Neutral,Strongly disagree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral
2025-10-24 13:59:10,2025-10-24 13:59:14,IP Address,174.203.2.188,4,4,False,2025-10-31 13:59:20,R_73RJZ78c4ZSuTst,,,,,29.8119,-95.5207,qr,EN,,,,,,,,,,,,,,,,,,,,,,
2025-11-07 11:50:19,2025-11-07 11:51:50,IP Address,107.77.198.84,100,91,True,2025-11-07 11:51:51,R_7NyoA1DMhqbGpdN,,,,,32.8685,-97.2863,qr,EN,1088,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree
2025-11-07 11:50:11,2025-11-07 11:51:51,IP Address,174.242.192.55,100,100,True,2025-11-07 11:51:51,R_7zovVTmtsrwiLjs,,,,,32.3607,-95.3094,qr,EN,1044,Neutral,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree
2025-11-07 11:50:09,2025-11-07 11:51:56,IP Address,107.77.201.63,100,106,True,2025-11-07 11:51:57,R_7o9O1MRULgvwxKV,,,,,32.8131,-96.8141,qr,EN,1032,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree
2025-11-07 11:50:17,2025-11-07 11:52:03,IP Address,107.77.197.186,100,106,True,2025-11-07 11:52:03,R_7kf8KkffwrR3R9T,,,,,32.8685,-97.2863,qr,EN,1017,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-11-07 11:50:11,2025-11-07 11:52:05,IP Address,166.205.190.135,100,114,True,2025-11-07 11:52:06,R_1e50hXPaBFPGpsg,,,,,32.7797,-96.8022,qr,EN,1079,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree
2025-11-07 11:50:20,2025-11-07 11:52:11,IP Address,174.246.133.223,100,111,True,2025-11-07 11:52:11,R_7j7D5340SelvERx,,,,,32.8231,-96.9668,qr,EN,1073,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly agree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree
2025-11-07 11:50:11,2025-11-07 11:52:11,IP Address,166.198.198.72,100,119,True,2025-11-07 11:52:11,R_7QSW5NqH4PTl48G,,,,,30.4427,-97.6805,qr,EN,1009,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree
2025-11-07 11:50:09,2025-11-07 11:52:12,IP Address,166.205.190.90,100,122,True,2025-11-07 11:52:12,R_7nH5GzATWVLM5ht,,,,,32.7797,-96.8022,qr,EN,1007,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree
2025-11-07 11:50:12,2025-11-07 11:52:12,IP Address,166.205.190.43,100,120,True,2025-11-07 11:52:12,R_1fxY4dazYhY1r9D,,,,,32.7797,-96.8022,qr,EN,1005,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
2025-11-07 11:50:10,2025-11-07 11:52:12,IP Address,166.205.190.109,100,122,True,2025-11-07 11:52:13,R_783AnP98GA2bF4J,,,,,32.7797,-96.8022,qr,EN,1053,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree
2025-11-07 11:50:12,2025-11-07 11:52:13,IP Address,172.58.180.127,100,121,True,2025-11-07 11:52:14,R_7Pb9MwYTSjWRPMU,,,,,32.8687,-96.8626,qr,EN,1033,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree
2025-11-07 11:50:13,2025-11-07 11:52:16,IP Address,107.127.4.35,100,123,True,2025-11-07 11:52:17,R_7jdgNh747O6xEjG,,,,,32.7797,-96.8022,qr,EN,1082,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-11-07 11:50:33,2025-11-07 11:52:17,IP Address,166.198.202.15,100,103,True,2025-11-07 11:52:17,R_5kdKKvDVBWWefOH,,,,,30.4427,-97.6805,qr,EN,1080,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly disagree
2025-11-07 11:50:16,2025-11-07 11:52:18,IP Address,174.226.131.155,100,122,True,2025-11-07 11:52:19,R_3diOQC1ZkM1BFXv,,,,,32.6609,-97.0342,qr,EN,1054,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree
2025-11-07 11:50:13,2025-11-07 11:52:19,IP Address,166.205.190.34,100,125,True,2025-11-07 11:52:19,R_7oF2fieK3Ebw4SQ,,,,,32.7797,-96.8022,qr,EN,1089,Strongly agree,Neutral,Neutral,Agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
2025-11-07 11:50:13,2025-11-07 11:52:21,IP Address,172.58.182.68,100,128,True,2025-11-07 11:52:21,R_7QrDWFhg0fc8kJr,,,,,32.8687,-96.8626,qr,EN,1034,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2025-11-07 11:50:16,2025-11-07 11:52:22,IP Address,172.59.193.178,100,125,True,2025-11-07 11:52:22,R_1LXtFDS4eSVFrEw,,,,,33.0287,-96.6826,qr,EN,1083,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-11-07 11:50:10,2025-11-07 11:52:22,IP Address,107.77.197.9,100,132,True,2025-11-07 11:52:23,R_1SfFWd5qLFJRD0J,,,,,32.8685,-97.2863,qr,EN,1075,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree
2025-11-07 11:50:16,2025-11-07 11:52:22,IP Address,166.199.242.42,100,126,True,2025-11-07 11:52:23,R_3BRFS5nSz6uQX1A,,,,,32.8445,-96.8219,qr,EN,1018,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree
2025-11-07 11:50:16,2025-11-07 11:52:23,IP Address,107.127.0.141,100,126,True,2025-11-07 11:52:23,R_6nnB0SwinP3pNFn,,,,,30.4293,-97.7207,qr,EN,1031,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree
2025-11-07 11:50:09,2025-11-07 11:52:23,IP Address,38.64.138.157,100,133,True,2025-11-07 11:52:23,R_7Ylw9XDERG5lBsU,,,,,41.8835,-87.6305,qr,EN,1093,Neutral,Neutral,Disagree,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral
2025-11-07 11:50:21,2025-11-07 11:52:23,IP Address,38.128.66.211,100,122,True,2025-11-07 11:52:24,R_5CvywD1ZPJO3KAb,,,,,41.8835,-87.6305,qr,EN,1061,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Neutral,Agree
2025-11-07 11:50:21,2025-11-07 11:52:24,IP Address,166.198.198.127,100,122,True,2025-11-07 11:52:24,R_10CWu6vey0FPxDV,,,,,30.4427,-97.6805,qr,EN,1029,Agree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Neutral,Disagree,Agree,Neutral,Disagree,Agree
2025-11-07 11:51:03,2025-11-07 11:52:26,IP Address,166.198.198.143,100,82,True,2025-11-07 11:52:26,R_6P826rKLpDYqDAf,,,,,30.4427,-97.6805,qr,EN,1035,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2025-11-07 11:50:23,2025-11-07 11:52:28,IP Address,172.59.196.100,100,124,True,2025-11-07 11:52:28,R_5ZOG3kz10ZIGWEq,,,,,32.7123,-96.7939,qr,EN,1001,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree
2025-11-07 11:50:14,2025-11-07 11:52:31,IP Address,174.224.5.245,100,137,True,2025-11-07 11:52:31,R_311jLoJeJqabUE1,,,,,32.9993,-96.8346,qr,EN,1090,Agree,Disagree,Disagree,Neutral,Strongly disagree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree
2025-11-07 11:50:12,2025-11-07 11:52:32,IP Address,67.216.253.33,100,140,True,2025-11-07 11:52:32,R_189nCRHc4xQK7El,,,,,32.2768,-95.3031,qr,EN,1008,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral
2025-11-07 11:50:09,2025-11-07 11:52:32,IP Address,166.198.198.124,100,142,True,2025-11-07 11:52:33,R_7P6l8tC7ccLqd00,,,,,30.4427,-97.6805,qr,EN,1078,Disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree
2025-11-07 11:50:19,2025-11-07 11:52:35,IP Address,174.214.121.222,100,135,True,2025-11-07 11:52:35,R_1KZpRENTrZfIFbj,,,,,32.8221,-97.0492,qr,EN,1038,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly agree
2025-11-07 11:50:21,2025-11-07 11:52:35,IP Address,174.244.50.43,100,133,True,2025-11-07 11:52:35,R_39v1pzjVuHXOe5L,,,,,32.8131,-96.8141,qr,EN,1048,Agree,Disagree,Disagree,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral
2025-11-07 11:50:13,2025-11-07 11:52:40,IP Address,172.59.192.236,100,147,True,2025-11-07 11:52:41,R_11AhDGDzStArvdD,,,,,33.0287,-96.6826,qr,EN,1051,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral
2025-11-07 11:50:20,2025-11-07 11:52:41,IP Address,174.224.8.4,100,140,True,2025-11-07 11:52:41,R_64ue90riTVoUIFB,,,,,32.8646,-96.7884,qr,EN,1077,Neutral,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree
2025-11-07 11:50:09,2025-11-07 11:52:41,IP Address,104.28.50.132,100,151,True,2025-11-07 11:52:41,R_7zopmCzDbwvQzrq,,,,,32.7797,-96.8022,qr,EN,1004,Agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
2025-11-07 11:50:11,2025-11-07 11:52:48,IP Address,166.198.198.112,100,157,True,2025-11-07 11:52:48,R_1ds9TLR7cu9MivK,,,,,30.4427,-97.6805,qr,EN,1037,Strongly disagree,Neutral,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Agree
2025-11-07 11:50:28,2025-11-07 11:52:50,IP Address,174.242.208.219,100,141,True,2025-11-07 11:52:50,R_7eJcoEDHEeu3Znd,,,,,32.3251,-95.2981,qr,EN,1060,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-11-07 11:50:11,2025-11-07 11:52:50,IP Address,107.127.0.124,100,158,True,2025-11-07 11:52:50,R_1DnnT0tI600EdWe,,,,,30.4293,-97.7207,qr,EN,1046,Agree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Agree,Neutral,Agree,Strongly agree,Disagree,Strongly agree
2025-11-07 11:50:12,2025-11-07 11:52:50,IP Address,173.219.33.110,100,157,True,2025-11-07 11:52:50,R_7YgoxLeiNcEPqPk,,,,,32.7797,-96.8022,qr,EN,1057,Disagree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-11-07 11:50:45,2025-11-07 11:52:51,IP Address,166.198.198.11,100,126,True,2025-11-07 11:52:52,R_6Ih1WlbTibXs2cK,,,,,30.4427,-97.6805,qr,EN,1055,Agree,Neutral,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree
