StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q22,Q23,Q24,Q25,Q26,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
2025-09-17 12:17:56,2025-09-17 12:20:52,0,192.88.11.210,100,175,1,2025-09-17 12:20:52,R_6P03yAIwBtfdC83,,,,,32.3251,-95.2981,qr,EN,1069,4,1,3,3,2,4,4,2,4,2,4,2,1,3,3,3,3,3,5,2,2,2,2,2,2
2025-09-17 12:17:59,2025-09-17 12:20:52,0,192.88.11.210,100,172,1,2025-09-17 12:20:53,R_3ZeiQ5DakXuW9bj,,,,,32.3251,-95.2981,qr,EN,1007,5,2,8,3,4,4,5,3,5,4,5,3,3,4,4,4,3,4,4,3,2,2,2,3,2
2025-09-17 12:17:55,2025-09-17 12:20:55,0,192.88.11.210,100,180,1,2025-09-17 12:20:56,R_6CIyz0kWDBK342m,,,,,32.3251,-95.2981,qr,EN,1071,4,2,1,2,4,4,3,3,5,2,3,3,3,2,3,3,2,3,3,4,4,2,2,4,2
2025-09-17 12:18:06,2025-09-17 12:20:56,0,192.88.11.210,100,170,1,2025-09-17 12:20:56,R_5R7LR6IpEtH5dVw,,,,,32.3251,-95.2981,qr,EN,1052,4,2,3,2,5,5,5,5,5,3,5,4,3,3,3,4,4,4,3,3,2,2,3,2,4
2025-09-17 12:17:54,2025-09-17 12:20:57,0,192.88.11.210,100,182,1,2025-09-17 12:20:57,R_3X68uiWzZG7D0Zj,,,,,32.3251,-95.2981,qr,EN,1034,4,2,8,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,4,2,3,3,3,3,3
2025-09-17 12:17:47,2025-09-17 12:20:58,0,192.88.11.210,100,190,1,2025-09-17 12:20:58,R_3pX1FsMANkjlAaS,,,,,32.3251,-95.2981,qr,EN,1018,5,2,1,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,3,1
2025-09-17 12:17:48,2025-09-17 12:20:57,0,192.88.11.210,100,188,1,2025-09-17 12:20:58,R_639xapVfnylMhiq,,,,,32.3251,-95.2981,qr,EN,1029,4,2,1,4,2,4,4,2,5,2,2,2,4,4,5,3,3,3,3,3,4,3,3,4,3
2025-09-17 12:17:55,2025-09-17 12:20:59,0,192.88.11.210,100,184,1,2025-09-17 12:20:59,R_689Mbr8FkjO2813,,,,,32.3251,-95.2981,qr,EN,1060,4,2,1,4,4,5,5,3,5,2,5,4,4,4,4,4,5,5,4,2,1,1,1,1,1
2025-09-17 12:17:48,2025-09-17 12:21:00,0,192.88.11.210,100,191,1,2025-09-17 12:21:00,R_6dGPk2zXQtQmnDr,,,,,32.3251,-95.2981,qr,EN,1014,6,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,2,3,3
2025-09-17 12:17:48,2025-09-17 12:21:03,0,192.88.11.210,100,194,1,2025-09-17 12:21:03,R_39hpKJYH4WQqcfp,,,,,32.3251,-95.2981,qr,EN,1001,4,2,2,3,4,4,4,2,5,3,4,4,5,1,5,4,5,5,3,1,3,1,2,2,1
2025-09-17 12:17:51,2025-09-17 12:21:03,0,192.88.11.210,100,191,1,2025-09-17 12:21:04,R_3XD3Pf4mwdzVne9,,,,,32.3251,-95.2981,qr,EN,1075,4,2,1,2,4,5,2,4,5,4,2,1,1,3,3,1,3,2,1,3,5,4,2,3,1
2025-09-17 12:17:54,2025-09-17 12:21:06,0,192.88.11.210,100,191,1,2025-09-17 12:21:06,R_3aKo1WhKf9uvZVv,,,,,32.3251,-95.2981,qr,EN,1009,4,2,1,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,3,3
2025-09-17 12:17:57,2025-09-17 12:21:05,0,192.88.11.210,100,188,1,2025-09-17 12:21:06,R_6GkacoeTtwZQsyf,,,,,32.3251,-95.2981,qr,EN,1055,4,2,8,1,4,5,5,4,5,4,5,3,4,4,3,4,4,4,5,2,2,3,2,3,2
2025-09-17 12:17:52,2025-09-17 12:21:09,0,192.88.11.210,100,197,1,2025-09-17 12:21:10,R_3MXixrwQEy2yaQ1,,,,,32.3251,-95.2981,qr,EN,1024,4,1,3,3,3,5,5,5,5,5,5,3,2,3,3,2,2,3,2,2,1,3,4,2,3
2025-09-17 12:17:47,2025-09-17 12:21:09,0,192.88.11.210,100,202,1,2025-09-17 12:21:10,R_6K8Q3caQWPzGbkH,,,,,32.3251,-95.2981,qr,EN,1045,4,2,1,2,4,4,3,4,4,2,4,3,3,3,3,2,3,3,3,3,4,2,2,3,3
2025-09-17 12:17:49,2025-09-17 12:21:10,0,192.88.11.210,100,201,1,2025-09-17 12:21:11,R_67Oo78oBnjewJTL,,,,,32.3251,-95.2981,qr,EN,1065,4,2,1,1,4,4,4,3,5,3,5,3,4,4,4,4,4,4,3,2,3,2,2,1,1
2025-09-17 12:17:53,2025-09-17 12:21:10,0,192.88.11.210,100,197,1,2025-09-17 12:21:11,R_7ANjNo8UN5ILYkR,,,,,32.3251,-95.2981,qr,EN,1077,4,2,4,1,3,4,3,4,5,5,5,3,3,3,3,2,4,3,3,3,4,3,3,2,3
2025-09-17 12:17:55,2025-09-17 12:21:12,0,192.88.11.210,100,197,1,2025-09-17 12:21:13,R_3QUp7eRdnkpDsVX,,,,,32.3251,-95.2981,qr,EN,1035,4,1,8,5,2,4,4,4,3,3,4,4,4,5,2,3,3,3,3,3,3,2,4,3,1
2025-09-17 12:17:46,2025-09-17 12:21:15,0,192.88.11.210,100,209,1,2025-09-17 12:21:16,R_3h6l0UMBovwjqLj,,,,,32.3251,-95.2981,qr,EN,1012,4,2,8,3,3,5,3,2,5,4,3,2,3,2,3,3,2,3,3,2,4,1,2,3,1
2025-09-17 12:18:18,2025-09-17 12:21:17,0,192.88.11.210,100,179,1,2025-09-17 12:21:18,R_3OjOuUf71SeWQ4d,,,,,32.3251,-95.2981,qr,EN,1056,4,2,2,3,2,4,2,3,4,3,4,2,3,2,3,2,3,2,3,3,3,2,3,3,2
2025-09-17 12:18:01,2025-09-17 12:21:19,0,192.88.11.210,100,197,1,2025-09-17 12:21:19,R_7uP5FL2XH8dfvcq,,,,,32.3251,-95.2981,qr,EN,1008,4,2,1,1,3,3,3,3,4,4,4,3,5,2,4,3,2,3,3,2,4,3,2,4,3
2025-09-17 12:17:50,2025-09-17 12:21:20,0,192.88.11.210,100,209,1,2025-09-17 12:21:20,R_3a0r4OzenN396AV,,,,,32.3251,-95.2981,qr,EN,1091,5,1,1,4,2,4,5,3,5,3,5,4,3,4,3,4,3,3,3,1,2,3,1,3,2
2025-09-17 12:17:51,2025-09-17 12:21:25,0,192.88.11.210,100,213,1,2025-09-17 12:21:25,R_71dYxHlKrC4EANA,,,,,32.3251,-95.2981,qr,EN,1064,4,2,8,3,4,5,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3
2025-09-17 12:17:51,2025-09-17 12:21:26,0,192.88.11.210,100,215,1,2025-09-17 12:21:27,R_3uSKxyBdkPJFWkF,,,,,32.3251,-95.2981,qr,EN,1013,4,2,1,2,4,3,3,3,4,4,3,4,4,3,4,4,3,4,4,3,3,2,4,3,3
2025-09-17 12:17:50,2025-09-17 12:21:27,0,192.88.11.210,100,216,1,2025-09-17 12:21:27,R_6YyT5Rpf4WQM2aL,,,,,32.3251,-95.2981,qr,EN,1046,4,2,3,4,1,5,5,3,1,2,5,3,5,4,3,2,3,3,3,2,5,2,4,3,2
2025-09-17 12:17:52,2025-09-17 12:21:29,0,192.88.11.210,100,216,1,2025-09-17 12:21:29,R_3lXJ5e9CGUzISkm,,,,,32.3251,-95.2981,qr,EN,1076,5,2,1,3,4,4,4,4,5,5,4,4,4,4,5,4,4,4,4,2,3,3,2,1,2
2025-09-17 12:17:56,2025-09-17 12:21:30,0,192.88.11.210,100,214,1,2025-09-17 12:21:31,R_6O31jREaAfBr9wl,,,,,32.3251,-95.2981,qr,EN,1031,4,2,1,4,4,5,3,3,5,5,4,4,3,4,4,3,3,4,4,1,3,2,2,2,1
2025-09-17 12:17:55,2025-09-17 12:21:37,0,192.88.11.210,100,222,1,2025-09-17 12:21:37,R_3SMquCEiEkC68Ip,,,,,32.3251,-95.2981,qr,EN,1021,4,2,4,2,4,4,4,4,5,4,5,4,5,4,5,5,3,5,3,3,4,4,2,4,2
2025-09-17 12:18:06,2025-09-17 12:21:39,0,192.88.11.210,100,212,1,2025-09-17 12:21:39,R_3QDduo9HoyKfUcX,,,,,32.3251,-95.2981,qr,EN,1059,4,2,2,1,3,2,2,2,4,4,4,4,3,2,1,3,2,1,2,2,2,2,2,2,2
2025-09-17 12:17:50,2025-09-17 12:21:39,0,192.88.11.210,100,229,1,2025-09-17 12:21:40,R_3NCZOh8oCe3LkvD,,,,,32.3251,-95.2981,qr,EN,1048,4,1,4,2,4,4,3,3,5,2,3,3,2,3,5,3,2,2,3,2,4,3,3,4,2
2025-09-17 12:17:49,2025-09-17 12:21:41,0,192.88.11.210,100,232,1,2025-09-17 12:21:41,R_6QSAC3nfmKNKTgw,,,,,32.3251,-95.2981,qr,EN,1057,4,2,2,6,5,5,5,3,5,2,5,2,1,2,1,1,4,3,3,1,1,1,2,3,2
2025-09-17 12:17:54,2025-09-17 12:21:45,0,192.88.11.210,100,230,1,2025-09-17 12:21:45,R_6JLsKKCQiyx4mzJ,,,,,32.3251,-95.2981,qr,EN,1073,4,2,8,3,4,4,3,4,3,3,4,3,3,2,3,2,3,3,3,3,3,2,2,3,3
2025-09-17 12:17:45,2025-09-17 12:21:46,0,192.88.11.210,100,241,1,2025-09-17 12:21:46,R_3JsjrY1DdbL8mlj,,,,,32.3251,-95.2981,qr,EN,1085,4,1,1,3,4,5,5,4,5,4,5,4,4,4,4,4,3,5,5,2,1,2,1,1,3
2025-09-17 12:17:47,2025-09-17 12:21:47,0,192.88.11.210,100,240,1,2025-09-17 12:21:48,R_332Sr1C8Pq1ODvy,,,,,32.3251,-95.2981,qr,EN,1074,4,2,1,3,4,4,4,3,5,4,4,4,4,4,5,4,4,4,3,2,4,2,2,4,2
2025-09-17 12:18:43,2025-09-17 12:21:48,0,172.226.168.16,100,184,1,2025-09-17 12:21:48,R_5pnS7Tx6PBo9J6P,,,,,33.7485,-84.3871,qr,EN,1020,4,1,1,4,3,4,3,2,5,2,4,3,4,2,2,3,1,1,3,3,3,2,3,3,2
2025-09-17 12:17:47,2025-09-17 12:21:48,0,79.127.244.142,100,241,1,2025-09-17 12:21:48,R_3nOSZyvQv8UjEwv,,,,,32.7797,-96.8022,qr,EN,1038,4,1,1,3,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,3,3,2,1,2,1
2025-09-17 12:17:50,2025-09-17 12:21:49,0,192.88.11.210,100,238,1,2025-09-17 12:21:50,R_5GLl7xnY9cSgpeF,,,,,32.3251,-95.2981,qr,EN,1066,6,2,1,2,4,4,4,3,4,3,4,3,2,2,2,2,2,2,2,3,3,2,4,2,2
2025-09-17 12:17:49,2025-09-17 12:21:50,0,192.88.11.210,100,240,1,2025-09-17 12:21:50,R_6k0rOH5zPT8mRQn,,,,,32.3251,-95.2981,qr,EN,1037,4,1,1,1,4,4,4,4,4,4,4,3,4,2,3,4,3,3,3,2,2,3,2,3,2
2025-09-17 12:17:51,2025-09-17 12:21:52,0,38.68.134.29,100,240,1,2025-09-17 12:21:52,R_67j7o4LHi58hWlj,,,,,32.7797,-96.8022,qr,EN,1093,4,1,8,3,4,3,3,4,4,3,4,3,3,3,3,2,2,3,3,3,4,2,3,3,3
2025-09-17 12:17:54,2025-09-17 12:22:00,0,192.88.11.210,100,246,1,2025-09-17 12:22:01,R_6bcQUkEaPEPcp2x,,,,,32.3251,-95.2981,qr,EN,1070,4,1,1,2,4,4,3,3,4,2,4,2,2,4,4,1,1,2,2,3,5,3,3,2,3
2025-09-17 12:17:50,2025-09-17 12:22:01,0,192.88.11.210,100,251,1,2025-09-17 12:22:01,R_6IB4HC9IAzusb08,,,,,32.3251,-95.2981,qr,EN,1003,4,2,1,3,2,2,2,2,4,3,2,2,4,2,4,4,1,2,1,2,4,4,3,4,2
2025-09-17 12:18:19,2025-09-17 12:22:02,0,192.88.11.210,100,222,1,2025-09-17 12:22:02,R_6OjhfhrfG0gtRnJ,,,,,32.3251,-95.2981,qr,EN,1002,4,2,1,3,4,4,3,2,4,2,4,4,3,3,4,3,2,2,3,4,4,2,2,2,3
2025-09-17 12:18:40,2025-09-17 12:22:04,0,192.88.11.210,100,203,1,2025-09-17 12:22:05,R_5opxLpcxdqlHGrq,,,,,32.3251,-95.2981,qr,EN,"1058
",4,2,8,3,2,4,3,2,5,4,2,4,4,4,4,3,5,3,3,2,3,2,2,3,1
2025-09-17 12:17:46,2025-09-17 12:22:05,0,37.19.221.219,100,258,1,2025-09-17 12:22:06,R_3NIC2TeErZW7OKt,,,,,29.7539,-95.359,qr,EN,1042,4,2,8,3,2,3,3,3,5,2,2,3,4,4,4,3,2,2,3,2,4,2,3,2,2
2025-09-17 12:17:51,2025-09-17 12:22:06,0,192.88.11.210,100,255,1,2025-09-17 12:22:06,R_3azaNQ7ByuzT5fz,,,,,32.3251,-95.2981,qr,EN,1044,4,2,2,2,5,5,5,5,4,4,5,4,5,4,5,5,5,5,5,4,2,3,2,2,1
2025-09-17 12:17:52,2025-09-17 12:22:07,0,192.88.11.210,100,254,1,2025-09-17 12:22:07,R_1fP1Zq6qyxcGW2B,,,,,32.3251,-95.2981,qr,EN,1051,4,2,1,1,4,5,3,3,5,4,4,4,4,3,3,2,2,3,3,3,3,4,3,2,3
2025-09-17 12:17:49,2025-09-17 12:22:08,0,192.88.11.210,100,259,1,2025-09-17 12:22:09,R_6OTY5ondrkmDPjr,,,,,32.3251,-95.2981,qr,EN,1011,5,2,1,4,3,5,4,4,5,5,3,2,3,2,3,2,2,2,2,3,5,3,2,4,3
2025-09-17 12:17:51,2025-09-17 12:22:08,0,192.88.11.210,100,257,1,2025-09-17 12:22:09,R_6zgzJ5rANJeJ0TD,,,,,32.3251,-95.2981,qr,EN,1027,4,2,2,3,3,4,5,3,5,2,5,4,4,5,5,5,4,4,4,3,3,2,3,4,2
2025-09-17 12:17:47,2025-09-17 12:22:14,0,192.88.11.210,100,267,1,2025-09-17 12:22:15,R_6ekNrbFnuipPaE1,,,,,32.3251,-95.2981,qr,EN,1084,4,2,3,5,3,3,3,3,5,3,3,3,3,2,3,3,4,3,3,3,3,2,3,3,2
2025-09-17 12:17:52,2025-09-17 12:22:22,0,192.88.11.210,100,270,1,2025-09-17 12:22:22,R_5IaSnjtCB1RpQiO,,,,,32.3251,-95.2981,qr,EN,1098,4,1,3,1,4,3,4,4,2,2,5,3,2,3,3,4,2,2,2,3,4,3,3,3,2
2025-09-17 12:17:46,2025-09-17 12:22:22,0,192.88.11.210,100,276,1,2025-09-17 12:22:22,R_33JIq78Xd0JEHHH,,,,,32.3251,-95.2981,qr,EN,1078,4,2,4,1,4,4,4,3,5,4,5,5,5,5,5,5,4,4,5,2,2,1,4,4,2
2025-09-17 12:17:57,2025-09-17 12:22:24,0,192.88.11.210,100,267,1,2025-09-17 12:22:25,R_6KOpeXrXjWPZbtV,,,,,32.3251,-95.2981,qr,EN,1062,5,2,2,1,5,5,5,4,5,5,5,4,3,2,3,2,3,3,3,3,2,3,1,1,1
2025-09-17 12:18:02,2025-09-17 12:22:32,0,192.88.11.210,100,270,1,2025-09-17 12:22:32,R_5UYnhOatVzIcVh2,,,,,32.3251,-95.2981,qr,EN,1061,4,1,2,3,4,4,4,4,5,4,4,3,4,4,2,2,4,2,3,2,2,2,2,4,1
2025-09-17 12:17:52,2025-09-17 12:22:35,0,192.88.11.210,100,283,1,2025-09-17 12:22:35,R_3BjHr0G4yhZnijT,,,,,32.3251,-95.2981,qr,EN,1094,4,2,1,2,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,3,3,3,2,3,2
2025-09-17 12:17:53,2025-09-17 12:22:41,0,192.88.11.210,100,288,1,2025-09-17 12:22:41,R_3lt4EBzoHNPMG4L,,,,,32.3251,-95.2981,qr,EN,1030,4,2,1,4,3,3,3,3,4,2,4,2,4,1,2,1,1,2,1,4,5,2,4,4,4
2025-09-17 12:17:47,2025-09-17 12:22:44,0,192.88.11.210,100,296,1,2025-09-17 12:22:44,R_63OQNssMWLBEPp7,,,,,32.3251,-95.2981,qr,EN,1041,4,2,8,3,2,3,3,3,5,2,5,3,4,3,5,3,4,3,3,3,2,3,3,3,3
2025-09-17 12:17:45,2025-09-17 12:22:44,0,192.88.11.210,100,298,1,2025-09-17 12:22:44,R_1uKciMSKRNns7iw,,,,,32.3251,-95.2981,qr,EN,1022,4,2,1,4,4,4,4,4,5,3,5,3,3,3,3,3,2,3,3,2,3,1,3,3,2
2025-09-17 12:17:47,2025-09-17 12:22:45,0,192.88.11.210,100,297,1,2025-09-17 12:22:45,R_6scZj0Ej2HqiCMT,,,,,32.3251,-95.2981,qr,EN,1036,6,1,2,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,1,1,1,1,1,1
2025-09-17 12:17:44,2025-09-17 12:22:45,0,192.88.11.210,100,301,1,2025-09-17 12:22:45,R_3OPARoezwmXVW01,,,,,32.3251,-95.2981,qr,EN,1089,4,2,2,3,3,5,4,4,4,1,3,3,3,2,3,3,3,3,3,3,3,2,2,2,1
2025-09-17 12:18:06,2025-09-17 12:22:45,0,192.88.11.210,100,279,1,2025-09-17 12:22:46,R_7NkrdvFLOzvf3ZI,,,,,32.3251,-95.2981,qr,EN,1028,6,2,4,6,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,2,1,1,1,1,1
2025-09-17 12:18:22,2025-09-17 12:22:48,0,192.88.11.210,100,265,1,2025-09-17 12:22:48,R_5Ez7K31M2mq94yJ,,,,,32.3251,-95.2981,qr,EN,1010,4,1,1,2,4,4,4,4,4,5,3,2,4,4,4,1,1,2,1,3,5,3,2,2,1
2025-09-17 12:18:00,2025-09-17 12:23:03,0,67.220.94.219,100,303,1,2025-09-17 12:23:03,R_5cnnXe29th5QlRn,,,,,43.6547,-79.3623,qr,EN,1068,4,1,8,2,4,3,4,4,5,5,4,2,2,3,2,1,1,1,1,3,5,3,3,5,3
2025-09-17 12:18:06,2025-09-17 12:23:10,0,192.88.11.210,100,303,1,2025-09-17 12:23:10,R_6E77jxWk7qnEbxY,,,,,32.3251,-95.2981,qr,EN,1040,4,2,2,3,5,5,4,4,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2025-09-17 12:18:41,2025-09-17 12:23:20,0,192.88.11.210,100,279,1,2025-09-17 12:23:21,R_6Li48BImrSDNwxs,,,,,32.3251,-95.2981,qr,EN,1087,5,2,2,4,3,4,5,4,5,4,4,4,3,4,5,5,5,5,5,2,3,1,2,3,1
2025-09-17 12:18:22,2025-09-17 12:23:22,0,192.88.11.210,100,299,1,2025-09-17 12:23:22,R_5auQG29Zi5tmSSB,,,,,32.3251,-95.2981,qr,EN,1092,4,1,2,3,3,4,4,2,5,3,3,2,5,4,4,3,3,4,4,2,2,1,2,2,1
